Arquivo,Título Duplicado
relatorio_projetos_historico(870)(in)_filtrado.csv,qualidade de vida de pacientes com insuficiência mitral primária submetidos a procedimento cirúrgico no hu-ufpi
relatorio_projetos_historico(870)(in)_filtrado.csv,qualidade de vida e função sexual em mulheres no período pré-operatório à histerectomia
relatorio_projetos_historico(870)(in)_filtrado.csv,raro exemplo de carcinoma adenoide cístico: um relato de caso
relatorio_projetos_historico(870)(in)_filtrado.csv,sazonalidade da fadiga na doença de parkinson em local de alta temperatura
relatorio_projetos_historico(870)(in)_filtrado.csv,teste
relatorio_projetos_historico(870)(in)_filtrado.csv,uma proposta de classificação para acessos venosos centrais e suas possiveis complicações precoces
relatorio_projetos_historico(870)(in)_filtrado.csv,uso de pessários como alternativa ao tratamento cirúrgico de prolapsos genitais
relatorio_projetos_historico(870)(in)_filtrado.csv,vacinação contra hpv: perfil de conhecimento dos colaboradores do hospital universitário da universidade federal do piauí (hu - ufpi)
relatorio_projetos_historico(870)(in)_filtrado.csv,valor prognóstico da tomografia computadorizada do tórax na avaliação prognóstica de pacientes internados com covid-19 em um hospital de alta complexidade no nordeste do brasil
relatorio_projetos_historico(870)(in)_filtrado.csv,variáveis preditoras de conversão de comprometimento cognitivo leve para demência na doença de parkinson: estudo baseado em registros do hospital universitário - ufpi
